SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	54676	52675
1	1101	1	1
2	1101	224	216
3	1101	2691	2632
4	1101	686	673
5	1101	1804	1749
6	1101	1410	1362
7	1101	4961	4814
8	1101	2701	2631
9	1101	3386	3311
10	1101	1066	1037
11	1101	4839	4707
12	1101	936	897
13	1101	149	130
14	1101	1922	1875
15	1101	1797	1763
16	1101	2685	2607
17	1101	1446	1408
18	1101	3040	2971
19	1101	5604	5426
20	1101	1069	1043
21	1101	1203	1161
22	1101	174	167
23	1101	1313	1274
24	1101	4916	4800
25	1101	119	110
26	1101	961	941
27	1101	3006	2928
28	1101	1336	1305
29	1101	3540	3453
30	1101	7950	7743
31	1101	1171	1124
32	1101	3704	3582
33	1101	1227	1180
34	1101	5453	5327
35	1101	2681	2612
36	1101	1507	1464
37	1101	166	157
38	1101	5628	5490
39	1101	10297	10005
40	1101	2922	2838
41	1101	3759	3645
42	1101	7898	7688
43	1101	2644	2572
44	1101	1712	1627
45	1101	6981	6845
46	1101	3782	3685
47	1101	3126	3052
48	1101	779	744
49	1101	626	606
50	1101	7624	7424
51	1101	8730	8500
52	1101	4505	4386
53	1101	7380	7182
54	1101	3421	3336
55	1101	2422	2358
56	1101	3264	3180
57	1101	608	593
58	1101	4815	4680
59	1101	6159	6005
60	1101	3455	3346
61	1101	457	436
62	1101	3199	3131
63	1101	4883	4741
64	1101	1325	1298
65	1101	6269	6104
66	1101	4586	4483
67	1101	3460	3376
68	1101	2825	2745
69	1101	3673	3586
70	1101	9091	8853
71	1101	3375	3289
72	1101	5295	5173
73	1101	105	102
74	1101	6493	6300
75	1101	5334	5173
76	1101	6596	6447
77	1101	1820	1766
78	1101	1292	1251
79	1101	2303	2241
80	1101	960	894
81	1101	4242	4140
82	1101	1650	1589
83	1101	1047	1016
84	1101	7272	7052
85	1101	1573	1474
86	1101	4520	4395
87	1101	4512	4389
88	1101	609	592
89	1101	1932	1870
90	1101	1325	1300
91	1101	4602	4494
92	1101	1759	1706
93	1101	2275	2219
94	1101	935	911
95	1101	1654	1611
96	1101	1635	1570
0	1102	54597	52885
1	1102	2	1
2	1102	247	241
3	1102	2665	2611
4	1102	720	698
5	1102	1799	1760
6	1102	1342	1292
7	1102	5094	4990
8	1102	2658	2605
9	1102	3376	3315
10	1102	1040	1006
11	1102	4733	4635
12	1102	939	911
13	1102	147	132
14	1102	1828	1785
15	1102	1794	1738
16	1102	2677	2626
17	1102	1425	1391
18	1102	2883	2817
19	1102	5659	5523
20	1102	1126	1101
21	1102	1213	1186
22	1102	172	170
23	1102	1260	1228
24	1102	4897	4790
25	1102	128	125
26	1102	930	908
27	1102	2925	2861
28	1102	1437	1399
29	1102	3506	3425
30	1102	7938	7767
31	1102	1179	1142
32	1102	3601	3509
33	1102	1161	1129
34	1102	5364	5246
35	1102	2604	2544
36	1102	1484	1432
37	1102	161	153
38	1102	5681	5567
39	1102	10148	9924
40	1102	2928	2850
41	1102	3898	3795
42	1102	7875	7679
43	1102	2568	2502
44	1102	1731	1680
45	1102	6761	6646
46	1102	3925	3808
47	1102	3178	3103
48	1102	720	688
49	1102	633	615
50	1102	7805	7632
51	1102	8807	8611
52	1102	4377	4257
53	1102	7362	7213
54	1102	3401	3319
55	1102	2583	2521
56	1102	3267	3188
57	1102	575	561
58	1102	4908	4782
59	1102	6175	6042
60	1102	3305	3222
61	1102	488	479
62	1102	3208	3154
63	1102	5007	4904
64	1102	1336	1301
65	1102	6339	6173
66	1102	4568	4467
67	1102	3573	3487
68	1102	2839	2771
69	1102	3579	3483
70	1102	8775	8577
71	1102	3341	3255
72	1102	5411	5311
73	1102	114	111
74	1102	6312	6153
75	1102	5226	5104
76	1102	6538	6407
77	1102	1853	1808
78	1102	1308	1253
79	1102	2229	2180
80	1102	916	877
81	1102	4383	4272
82	1102	1682	1648
83	1102	968	946
84	1102	7369	7192
85	1102	1404	1336
86	1102	4648	4526
87	1102	4460	4372
88	1102	639	626
89	1102	1905	1856
90	1102	1275	1239
91	1102	4699	4606
92	1102	1721	1673
93	1102	2286	2222
94	1102	911	897
95	1102	1650	1612
96	1102	1587	1524
0	1103	53710	51765
1	1103	6	4
2	1103	248	232
3	1103	2690	2616
4	1103	750	720
5	1103	1764	1710
6	1103	1336	1291
7	1103	5067	4917
8	1103	2637	2569
9	1103	3403	3312
10	1103	1016	980
11	1103	4643	4527
12	1103	950	918
13	1103	160	134
14	1103	1943	1905
15	1103	1808	1750
16	1103	2853	2780
17	1103	1397	1355
18	1103	2961	2885
19	1103	5497	5340
20	1103	1106	1065
21	1103	1247	1205
22	1103	167	162
23	1103	1287	1244
24	1103	4764	4642
25	1103	98	93
26	1103	939	911
27	1103	2890	2807
28	1103	1433	1390
29	1103	3471	3362
30	1103	8016	7765
31	1103	1246	1205
32	1103	3610	3511
33	1103	1194	1153
34	1103	5359	5206
35	1103	2736	2657
36	1103	1516	1466
37	1103	170	162
38	1103	5739	5587
39	1103	10253	9969
40	1103	2899	2828
41	1103	3922	3826
42	1103	8033	7814
43	1103	2634	2564
44	1103	1736	1687
45	1103	6760	6601
46	1103	3818	3705
47	1103	3117	3027
48	1103	701	679
49	1103	651	626
50	1103	7710	7485
51	1103	8899	8655
52	1103	4459	4329
53	1103	7254	7067
54	1103	3308	3215
55	1103	2589	2520
56	1103	3157	3060
57	1103	610	593
58	1103	4968	4809
59	1103	6164	5982
60	1103	3560	3453
61	1103	448	432
62	1103	3162	3078
63	1103	5025	4859
64	1103	1308	1260
65	1103	6448	6279
66	1103	4749	4626
67	1103	3552	3443
68	1103	2842	2759
69	1103	3669	3557
70	1103	8940	8703
71	1103	3283	3183
72	1103	5354	5208
73	1103	117	116
74	1103	6459	6250
75	1103	5208	5072
76	1103	6624	6443
77	1103	1873	1814
78	1103	1408	1332
79	1103	2237	2179
80	1103	912	869
81	1103	4372	4235
82	1103	1570	1520
83	1103	941	907
84	1103	7312	7097
85	1103	1443	1378
86	1103	4712	4565
87	1103	4349	4218
88	1103	656	631
89	1103	1928	1875
90	1103	1277	1253
91	1103	4672	4550
92	1103	1767	1705
93	1103	2209	2137
94	1103	866	843
95	1103	1534	1490
96	1103	1488	1431
0	1104	53358	51605
1	1104	4	3
2	1104	275	266
3	1104	2686	2620
4	1104	677	654
5	1104	1755	1713
6	1104	1420	1388
7	1104	4927	4809
8	1104	2630	2569
9	1104	3446	3351
10	1104	1028	995
11	1104	4874	4763
12	1104	953	923
13	1104	162	137
14	1104	1828	1783
15	1104	1767	1722
16	1104	2780	2708
17	1104	1367	1324
18	1104	2976	2912
19	1104	5687	5539
20	1104	1160	1135
21	1104	1136	1105
22	1104	197	191
23	1104	1213	1188
24	1104	4707	4606
25	1104	86	85
26	1104	937	912
27	1104	2931	2863
28	1104	1478	1434
29	1104	3562	3459
30	1104	8074	7877
31	1104	1124	1080
32	1104	3587	3487
33	1104	1210	1187
34	1104	5290	5158
35	1104	2706	2625
36	1104	1505	1444
37	1104	186	177
38	1104	5712	5595
39	1104	10317	10037
40	1104	2849	2782
41	1104	3786	3693
42	1104	7805	7622
43	1104	2682	2614
44	1104	1681	1643
45	1104	6645	6532
46	1104	3790	3698
47	1104	3108	3034
48	1104	707	675
49	1104	626	605
50	1104	7727	7531
51	1104	8847	8642
52	1104	4401	4295
53	1104	7357	7197
54	1104	3409	3317
55	1104	2503	2444
56	1104	3170	3088
57	1104	595	576
58	1104	4976	4868
59	1104	6225	6091
60	1104	3416	3321
61	1104	476	461
62	1104	3255	3176
63	1104	4986	4872
64	1104	1260	1219
65	1104	6221	6046
66	1104	4651	4537
67	1104	3610	3520
68	1104	2857	2796
69	1104	3652	3574
70	1104	8995	8783
71	1104	3409	3304
72	1104	5360	5241
73	1104	103	100
74	1104	6417	6227
75	1104	5359	5219
76	1104	6538	6394
77	1104	1844	1791
78	1104	1348	1299
79	1104	2312	2259
80	1104	981	933
81	1104	4359	4247
82	1104	1694	1640
83	1104	993	968
84	1104	7227	7008
85	1104	1420	1350
86	1104	4759	4620
87	1104	4444	4340
88	1104	654	630
89	1104	1995	1934
90	1104	1272	1249
91	1104	4607	4476
92	1104	1795	1750
93	1104	2201	2142
94	1104	903	882
95	1104	1594	1561
96	1104	1610	1555
0	1105	54121	52222
1	1105	1	0
2	1105	257	243
3	1105	2639	2577
4	1105	723	703
5	1105	1786	1726
6	1105	1381	1346
7	1105	5144	5014
8	1105	2661	2601
9	1105	3419	3324
10	1105	1029	990
11	1105	4702	4582
12	1105	915	888
13	1105	175	151
14	1105	1829	1785
15	1105	1813	1760
16	1105	2759	2663
17	1105	1432	1393
18	1105	2953	2865
19	1105	5647	5484
20	1105	1036	1003
21	1105	1197	1163
22	1105	153	149
23	1105	1282	1238
24	1105	4800	4686
25	1105	87	82
26	1105	934	907
27	1105	2963	2886
28	1105	1409	1351
29	1105	3425	3348
30	1105	7895	7680
31	1105	1174	1143
32	1105	3511	3414
33	1105	1174	1137
34	1105	5294	5139
35	1105	2665	2601
36	1105	1506	1465
37	1105	188	180
38	1105	5648	5513
39	1105	10118	9868
40	1105	3031	2936
41	1105	3858	3758
42	1105	7877	7661
43	1105	2640	2560
44	1105	1711	1652
45	1105	6646	6528
46	1105	3886	3772
47	1105	3028	2961
48	1105	710	683
49	1105	586	564
50	1105	7701	7500
51	1105	9031	8771
52	1105	4364	4231
53	1105	7329	7138
54	1105	3376	3281
55	1105	2582	2511
56	1105	3262	3175
57	1105	567	551
58	1105	4945	4780
59	1105	6247	6055
60	1105	3557	3462
61	1105	467	447
62	1105	3315	3226
63	1105	5001	4854
64	1105	1360	1317
65	1105	6270	6102
66	1105	4685	4569
67	1105	3521	3427
68	1105	2868	2767
69	1105	3553	3461
70	1105	9009	8743
71	1105	3259	3168
72	1105	5274	5139
73	1105	98	94
74	1105	6425	6223
75	1105	5438	5284
76	1105	6558	6399
77	1105	1857	1803
78	1105	1361	1318
79	1105	2344	2275
80	1105	907	865
81	1105	4292	4170
82	1105	1691	1646
83	1105	1025	993
84	1105	7227	6994
85	1105	1437	1368
86	1105	4678	4553
87	1105	4436	4305
88	1105	641	626
89	1105	1889	1833
90	1105	1354	1313
91	1105	4598	4482
92	1105	1847	1793
93	1105	2199	2133
94	1105	903	879
95	1105	1544	1498
96	1105	1612	1565
0	1106	54107	52323
2	1106	269	258
3	1106	2598	2540
4	1106	704	680
5	1106	1756	1710
6	1106	1334	1294
7	1106	5039	4934
8	1106	2736	2677
9	1106	3397	3316
10	1106	1065	1041
11	1106	4734	4629
12	1106	979	944
13	1106	157	138
14	1106	1809	1771
15	1106	1847	1801
16	1106	2723	2678
17	1106	1393	1366
18	1106	2952	2873
19	1106	5591	5477
20	1106	1071	1049
21	1106	1222	1187
22	1106	168	163
23	1106	1352	1327
24	1106	4846	4758
25	1106	121	118
26	1106	922	906
27	1106	2955	2890
28	1106	1411	1369
29	1106	3487	3398
30	1106	7992	7810
31	1106	1110	1075
32	1106	3720	3630
33	1106	1198	1165
34	1106	5385	5269
35	1106	2705	2653
36	1106	1571	1529
37	1106	189	184
38	1106	5682	5574
39	1106	10222	9972
40	1106	2885	2829
41	1106	3939	3850
42	1106	7848	7687
43	1106	2548	2491
44	1106	1688	1641
45	1106	6894	6763
46	1106	3896	3813
47	1106	3272	3221
48	1106	762	743
49	1106	548	535
50	1106	7700	7544
51	1106	8855	8624
52	1106	4528	4413
53	1106	7409	7259
